日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-14,null,Timeline.to,时间胶囊.跳转,44,13
2020-11-14,null,Search.onSelect,搜索.切换类型,45,25
2020-11-14,null,Setting.to,设置.跳转,46,16
2020-11-14,null,TOverview.to,热门榜单.跳转,46,5
2020-11-14,null,Subject.imageView,条目.封面图查看,47,14
2020-11-14,null,Works.to,作品.跳转,52,14
2020-11-14,null,TAdvance.to,高级分析.跳转,53,10
2020-11-14,null,Group.to,小组.跳转,54,8
2020-11-14,null,TDeal.toggleType,交易.切换买卖类型,55,15
2020-11-14,null,Anime.to,Anime.跳转,56,8
2020-11-14,null,Home.doWatchedNextEp,首页.观看下一章节,61,25
2020-11-14,null,TLogs.tabsChange,资金日志.标签页切换,63,10
2020-11-14,null,Login.onSuccess,登陆.成功,64,55
2020-11-14,null,Home.itemToggleExpand,首页.展开或收起条目,64,17
2020-11-14,null,Browser.to,索引.跳转,65,6
2020-11-14,null,Tag.to,用户标签.跳转,67,11
2020-11-14,null,TSacrifice.to,资产重组.跳转,68,15
2020-11-14,null,TICO.to,ICO.跳转,69,18
2020-11-14,null,Rank.next,排行榜.下一页,70,10
2020-11-14,null,Rank.to,排行榜.跳转,75,16
2020-11-14,null,Topic.to,帖子.跳转,75,25
2020-11-14,null,Home.doEpsSelect,首页.章节菜单操作,76,21
2020-11-14,null,TTopWeek.refresh,每周萌王.刷新,80,8
2020-11-14,null,TTopWeek.to,每周萌王.跳转,85,14
2020-11-14,null,TLogs.to,资金日志.跳转,87,15
2020-11-14,null,Login.onLogin,登陆.登陆,91,59
2020-11-14,null,Anime.onSelect,Anime.选择,92,14
2020-11-14,null,TCharaAssets.tabsChange,我的持仓.标签页切换,92,20
2020-11-14,null,Zone.tabsChange,空间.标签页切换,94,14
2020-11-14,null,Subject.changeText,条目.书籍章节输入框改变,100,9
2020-11-14,null,TIndex.test,小圣杯.预测股息,101,24
2020-11-14,null,Home.tabsChange,首页.标签页切换,114,33
2020-11-14,null,Subject.doEpsSelect,条目.章节菜单操作,125,43
2020-11-14,null,Mono.to,人物.跳转,138,40
2020-11-14,null,TSacrifice.doAuction,资产重组.竞拍,145,21
2020-11-14,null,User.to,我的.跳转,178,46
2020-11-14,null,TItems.use,我的道具.使用,213,17
2020-11-14,null,Rakuen.to,超展开.跳转,240,41
2020-11-14,null,TIndex.lottery,小圣杯.刮刮乐,255,32
2020-11-14,null,Subject.doUpdateCollection,条目.管理收藏,263,58
2020-11-14,null,Search.to,搜索.跳转,280,82
2020-11-14,null,TBid.to,我的委托.跳转,310,23
2020-11-14,null,TDeal.doSubmit,交易.挂单,319,24
2020-11-14,null,Discovery.to,发现.跳转,322,95
2020-11-14,null,Subject.showManageModel,条目.显示收藏管理,348,64
2020-11-14,null,User.tabsChange,我的.标签页切换,366,65
2020-11-14,null,Search.doSearch,搜索.搜索,369,81
2020-11-14,null,TDeal.to,交易.跳转,429,32
2020-11-14,null,Home.to,首页.跳转,455,130
2020-11-14,null,Subject.to,条目.跳转,527,97
2020-11-14,null,TCharaAssets.to,我的持仓.跳转,567,26
2020-11-14,null,Other.start,其他.启动,758,248
2020-11-14,null,TIndex.to,小圣杯.跳转,843,49
2020-11-14,null,Subject.view,条目.查看,1274,155
2020-11-14,null,Other.view,其他.查看,7260,234
2020-11-15,null,Episodes.to,章节.跳转,1,1
2020-11-15,null,Subject.readNoval,条目.阅读轻小说,1,1
2020-11-15,null,Say.to,吐槽.跳转,1,1
2020-11-15,null,TSacrifice.doTestSacrifice,资产重组.测试效率,1,1
2020-11-15,null,Rank.onMonthSelect,排行榜.月选择,1,1
2020-11-15,null,Assist.copy,辅助登陆.复制,1,1
2020-11-15,null,Topic.toggleReverseComments,帖子.吐槽倒序,1,1
2020-11-15,null,RakuenSearch.selectHistory,帖子搜索.选择历史,1,1
2020-11-15,null,Wenku.onSelect,文库.选择,1,1
2020-11-15,null,Anitama.to,Anitama.跳转,1,1
