日期,参数值,消息数量,占比
2020-12-07,吐槽,7,0.04%
2020-12-07,收藏,2,0.01%
2020-12-07,目录,1,0.01%
2020-12-07,系列,1,0.01%
2020-12-08,角色,300,1.52%
2020-12-08,章节,102,0.52%
2020-12-08,评分分布,88,0.45%
2020-12-08,关联条目,83,0.42%
2020-12-08,评论,67,0.34%
2020-12-08,详情,58,0.29%
2020-12-08,标签,55,0.28%
2020-12-08,制作人员,51,0.26%
2020-12-08,系列续集,49,0.25%
2020-12-08,讨论版,39,0.2%
2020-12-08,系列前传,32,0.16%
2020-12-08,单行本,18,0.09%
2020-12-08,吐槽,13,0.07%
2020-12-08,猜你喜欢,11,0.06%
2020-12-08,曲目列表,9,0.05%
2020-12-08,条目,7,0.04%
2020-12-08,目录,6,0.03%
2020-12-08,系列,1,0.01%
2020-12-08,收藏,1,0.01%
2020-12-09,角色,118,0.6%
2020-12-09,关联条目,84,0.43%
2020-12-09,章节,81,0.41%
2020-12-09,详情,58,0.29%
2020-12-09,系列续集,49,0.25%
2020-12-09,制作人员,43,0.22%
2020-12-09,标签,41,0.21%
2020-12-09,评论,34,0.17%
2020-12-09,系列前传,30,0.15%
2020-12-09,讨论版,28,0.14%
2020-12-09,评分分布,18,0.09%
2020-12-09,单行本,13,0.07%
2020-12-09,条目,7,0.04%
2020-12-09,猜你喜欢,6,0.03%
2020-12-09,吐槽,6,0.03%
2020-12-09,收藏,2,0.01%
2020-12-09,用户动态,1,0.01%
2020-12-09,目录,1,0.01%
2020-12-09,曲目列表,1,0.01%
2020-12-10,角色,161,0.82%
2020-12-10,章节,80,0.41%
2020-12-10,关联条目,71,0.36%
2020-12-10,系列续集,70,0.35%
2020-12-10,系列前传,53,0.27%
2020-12-10,评分分布,41,0.21%
2020-12-10,详情,41,0.21%
2020-12-10,评论,39,0.2%
2020-12-10,标签,37,0.19%
2020-12-10,制作人员,32,0.16%
2020-12-10,讨论版,29,0.15%
2020-12-10,猜你喜欢,21,0.11%
2020-12-10,单行本,10,0.05%
2020-12-10,条目,7,0.04%
2020-12-10,吐槽,6,0.03%
2020-12-10,曲目列表,6,0.03%
2020-12-10,用户动态,2,0.01%
2020-12-10,目录,1,0.01%
2020-12-10,系列,1,0.01%
2020-12-10,收藏,1,0.01%
2020-12-11,关联条目,91,0.46%
2020-12-11,角色,74,0.37%
2020-12-11,章节,70,0.35%
2020-12-11,系列续集,60,0.3%
2020-12-11,详情,58,0.29%
2020-12-11,系列前传,43,0.22%
2020-12-11,评论,42,0.21%
2020-12-11,标签,37,0.19%
2020-12-11,评分分布,34,0.17%
2020-12-11,讨论版,23,0.12%
2020-12-11,制作人员,22,0.11%
2020-12-11,猜你喜欢,19,0.1%
2020-12-11,吐槽,10,0.05%
2020-12-11,单行本,8,0.04%
2020-12-11,条目,6,0.03%
2020-12-11,用户动态,3,0.02%
2020-12-11,目录,2,0.01%
2020-12-11,收藏,1,0.01%
2020-12-12,关联条目,134,0.68%
2020-12-12,章节,117,0.59%
2020-12-12,角色,111,0.56%
2020-12-12,系列续集,62,0.31%
2020-12-12,制作人员,57,0.29%
2020-12-12,详情,47,0.24%
2020-12-12,标签,42,0.21%
2020-12-12,评分分布,37,0.19%
2020-12-12,系列前传,35,0.18%
2020-12-12,评论,34,0.17%
2020-12-12,讨论版,27,0.14%
2020-12-12,吐槽,14,0.07%
2020-12-12,猜你喜欢,10,0.05%
2020-12-12,单行本,5,0.03%
2020-12-12,条目,5,0.03%
2020-12-12,曲目列表,5,0.03%
2020-12-12,用户动态,2,0.01%
2020-12-12,收藏,2,0.01%
2020-12-12,目录,1,0.01%
2020-12-13,角色,191,0.97%
2020-12-13,章节,166,0.84%
2020-12-13,关联条目,136,0.69%
2020-12-13,系列续集,94,0.48%
2020-12-13,系列前传,64,0.32%
2020-12-13,标签,61,0.31%
2020-12-13,评论,50,0.25%
2020-12-13,详情,48,0.24%
2020-12-13,评分分布,40,0.2%
2020-12-13,讨论版,37,0.19%
2020-12-13,制作人员,35,0.18%
2020-12-13,猜你喜欢,12,0.06%
2020-12-13,吐槽,10,0.05%
2020-12-13,条目,7,0.04%
2020-12-13,目录,6,0.03%
2020-12-13,曲目列表,6,0.03%
2020-12-13,单行本,4,0.02%
2020-12-13,用户动态,1,0.01%
2020-12-13,系列,1,0.01%
2020-12-13,收藏,1,0.01%
